"","edition","round","score","team1","team2","url","venue","year"
"143","1950-BRAZIL","GROUP_STAGE","8-0 (4-0)","Uruguay","Bolivia","1950_BRAZIL_FS.htm#69-WC-50-I","Belo Horizonte.",1950
"144","1950-BRAZIL","GROUP_STAGE","2-1 (2-0)","Switzerland (Schweiz / Suisse)","Mexico (México)","1950_BRAZIL_FS.htm#59-WC-50-I","Porto_Alegre.",1950
"145","1950-BRAZIL","GROUP_STAGE","5-2 (2-0)","Chile","USA","1950_BRAZIL_FS.htm#65-WC-50-I","Recife.",1950
"146","1950-BRAZIL","FINAL_ROUND","7-1 (3-0)","Brazil (Brasil)","Sweden (Sverige)","1950_BRAZIL_FS.htm#70-WC-50-II","Rio de Janeiro.",1950
"147","1950-BRAZIL","FINAL_ROUND","2-2 (1-2)","Uruguay","Spain (España)","1950_BRAZIL_FS.htm#71-WC-50-II","São_Paulo.",1950
"148","1950-BRAZIL","FINAL_ROUND","3-2 (1-2)","Uruguay","Sweden (Sverige)","1950_BRAZIL_FS.htm#72-WC-50-II","São_Paulo.",1950
"149","1950-BRAZIL","FINAL_ROUND","6-1 (3-0)","Brazil (Brasil)","Spain (España)","1950_BRAZIL_FS.htm#73-WC-50-II","Rio de Janeiro.",1950
"150","1950-BRAZIL","FINAL_ROUND","3-1 (2-0)","Sweden (Sverige)","Spain (España)","1950_BRAZIL_FS.htm#75-WC-50-II","São_Paulo.",1950
"151","1950-BRAZIL","FINAL_ROUND","2-1 (0-0)","Uruguay","Brazil (Brasil)","1950_BRAZIL_FS.htm#74-WC-50-II","Rio de Janeiro.",1950
"152","1954-SWITZERLAND","PRELIMINARY-Eur./N.E.","1-0 (1-0)","Yugoslavia (Југославија)","Greece (Ελλάδα)","1954_SWITZERLAND_PR.htm","Beograd.",1953
"153","1954-SWITZERLAND","PRELIMINARY-Europe","2-4 (0-3)","Finland (Suomi)","Belgium (België)","1954_SWITZERLAND_PR.htm","Helsinki.",1953
"154","1954-SWITZERLAND","PRELIMINARY-Europe","2-3 (2-3)","Sweden (Sverige)","Belgium (België)","1954_SWITZERLAND_PR.htm","Stockholm.",1953
"155","1954-SWITZERLAND","PRELIMINARY-Europe","2-0 (0-0)","Czechoslovakia (Československo)","Romania (România)","1954_SWITZERLAND_PR.htm","Praha.",1953
"156","1954-SWITZERLAND","PRELIMINARY-Europe","2-3 (2-2)","Norway (Norge)","Saarland","1954_SWITZERLAND_PR.htm","Oslo.",1953
"157","1954-SWITZERLAND","PRELIMINARY-Europe","3-1 (2-0)","Romania (România)","Bulgaria (България)","1954_SWITZERLAND_PR.htm","Bucureşti.",1953
"158","1954-SWITZERLAND","PRELIMINARY-N/C.America","8-0 (5-0)","Mexico (México)","Haiti (Haïti)","1954_SWITZERLAND_PR.htm","México D.F.",1953
"159","1954-SWITZERLAND","PRELIMINARY-Europe","3-3 (0-2)","Finland (Suomi)","Sweden (Sverige)","1954_SWITZERLAND_PR.htm","Helsinki.",1953
"160","1954-SWITZERLAND","PRELIMINARY-Europe","4-0 (2-0)","Sweden (Sverige)","Finland (Suomi)","1954_SWITZERLAND_PR.htm","Stockholm.",1953
"161","1954-SWITZERLAND","PRELIMINARY-Europe","1-1 (1-1)","Norway (Norge)","FRG (BRD / Westdeutschland)","1954_SWITZERLAND_PR.htm","Oslo.",1953
"162","1954-SWITZERLAND","PRELIMINARY-Europe","1-2 (0-2)","Bulgaria (България)","Czechoslovakia (Československo)","1954_SWITZERLAND_PR.htm","Sofija.",1953
"163","1954-SWITZERLAND","PRELIMINARY-Europe","1-6 (1-4)","Luxembourg (Lëtzebuerg)","France","1954_SWITZERLAND_PR.htm","Luxembourg.",1953
"164","1954-SWITZERLAND","PRELIMINARY-Europe","2-2 (2-0)","Belgium (België)","Finland (Suomi)","1954_SWITZERLAND_PR.htm","Bruxelles.",1953
"165","1954-SWITZERLAND","PRELIMINARY-Europe","9-1 (4-0)","Austria (Österreich)","Portugal","1954_SWITZERLAND_PR.htm","Wien.",1953
"166","1954-SWITZERLAND","PRELIMINARY-Europe","1-3 (0-0)","Northern Ireland (Ulster)","Scotland","1954_SWITZERLAND_PR.htm","Belfast.",1953
"167","1954-SWITZERLAND","PRELIMINARY-Europe","3-5 (0-2)","Ireland (Éire)","France","1954_SWITZERLAND_PR.htm","Dublin.",1953
